keyword,search_volume,cpc,competition,num_competitors,best_position,word_count,domains
"how to make facebook business page",14800,6.17,0.4600,1,12,6,"scorpion.co"
"how to make facebook page a business",14800,6.17,0.4600,1,12,7,"scorpion.co"
"lsa google",14800,2.89,0.2800,3,22,2,"1seo.com|relentless-digital.com|scorpion.co"
"marketing funnel",14800,14.45,0.1900,1,76,2,"scorpion.co"
"no advertising on youtube",14800,1.16,0.2000,1,92,4,"scorpion.co"
"services digital marketing",14800,18.27,0.0800,2,30,3,"bird.marketing|scorpion.co"
"social media agency services",14800,22.25,0.0400,1,80,4,"scorpion.co"
"how much do hvac make",14800,18.05,0.0200,1,45,5,"hookagency.com"
"how much do hvac technicians make",14800,18.05,0.0200,1,52,6,"hookagency.com"
"how much do hvac techs make",14800,18.05,0.0200,1,45,6,"hookagency.com"
"how much does hvac make",14800,18.05,0.0200,1,47,5,"hookagency.com"
"how much does hvac tech make",14800,18.05,0.0200,1,38,6,"hookagency.com"
"paint leads",14800,2.86,0.1700,1,5,2,"hookagency.com"
"website color codes html",14800,0.00,0.0000,1,12,4,"hookagency.com"
"fashion branding company",14800,0.22,0.9200,1,30,3,"bird.marketing"
"digital marketing company",12100,20.84,0.1600,1,13,3,"scorpion.co"
"digital marketing firm",12100,20.84,0.1600,2,31,3,"hookagency.com|scorpion.co"
"digital marketing firms",12100,20.84,0.1600,1,80,3,"scorpion.co"
"digital marketing marketing company",12100,20.84,0.1600,2,21,4,"bird.marketing|scorpion.co"
"build business facebook page",9900,5.57,0.4500,1,14,4,"scorpion.co"
"content marketing service",9900,18.23,0.0200,2,4,3,"valveandmeter.com|scorpion.co"
"content marketing services",9900,18.23,0.0200,2,2,3,"valveandmeter.com|scorpion.co"
"create a business facebook page",9900,5.57,0.4500,1,10,5,"scorpion.co"
"create a company facebook page",9900,5.57,0.4500,1,12,5,"scorpion.co"
"create business facebook page",9900,5.57,0.4500,1,15,4,"scorpion.co"
"create facebook business page",9900,5.57,0.4500,1,12,4,"scorpion.co"
"create facebook page for business",9900,5.57,0.4500,1,5,5,"scorpion.co"
"creating a company facebook page",9900,5.57,0.4500,1,34,5,"scorpion.co"
"creating company facebook page",9900,5.57,0.4500,1,14,4,"scorpion.co"
"how can i delete a google review",9900,11.80,0.2300,2,39,7,"hookagency.com|scorpion.co"
"how can i delete a review on google",9900,11.80,0.2300,2,34,8,"scorpion.co|hookagency.com"
"how do i delete a google review",9900,11.80,0.2300,2,42,7,"hookagency.com|scorpion.co"
"how do i delete a review on google",9900,11.80,0.2300,2,27,8,"scorpion.co|hookagency.com"
"how do i remove a google review",9900,11.80,0.2300,2,66,7,"hookagency.com|scorpion.co"
"how to delete a google review",9900,11.80,0.2300,2,54,6,"hookagency.com|scorpion.co"
