keyword,search_volume,cpc,word_count,num_competitors,best_position,domains
"how much does a plumber make in a year",3600,0.41,9,3,2,"servicetitan.com|getjobber.com|housecallpro.com"
"how much does a plumber make yearly",3600,0.41,7,3,4,"servicetitan.com|getjobber.com|housecallpro.com"
"how much does general contractors make",3600,0.00,6,2,41,"servicetitan.com|getjobber.com"
"how much does plumber make a year",3600,0.41,7,3,2,"servicetitan.com|getjobber.com|housecallpro.com"
"how much does plumbers make a year",3600,0.41,7,3,1,"servicetitan.com|getjobber.com|housecallpro.com"
"how much does plumbing make a year",3600,0.41,7,2,1,"servicetitan.com|getjobber.com"
"how to get a contractor licence",3600,3.86,6,1,62,"servicetitan.com"
"how to get a contractors license",3600,3.98,6,2,19,"servicetitan.com|getjobber.com"
"how to get my contractors license",3600,3.98,6,2,19,"servicetitan.com|getjobber.com"
"how to get your contractor's license",3600,3.98,6,2,19,"servicetitan.com|getjobber.com"
"how to get your general contractor license",3600,3.86,7,2,31,"servicetitan.com|getjobber.com"
"how to obtain contractor license",3600,3.98,5,2,57,"servicetitan.com|getjobber.com"
"hvac contractor certification",3600,2.81,3,3,2,"servicetitan.com|getjobber.com|housecallpro.com"
"services in websites",3600,32.81,3,2,6,"servicetitan.com|housecallpro.com"
"state of michigan licensed contractors",3600,4.42,5,2,9,"servicetitan.com|getjobber.com"
"what do plumber do",3600,3.06,4,3,45,"servicetitan.com|getjobber.com|housecallpro.com"
"what is a hvac technician",3600,12.51,5,2,13,"servicetitan.com|housecallpro.com"
"what is hvac tech",3600,12.51,4,2,30,"servicetitan.com|housecallpro.com"
"what is hvac technician",3600,12.51,4,3,18,"servicetitan.com|getjobber.com|housecallpro.com"
"build website business",3600,32.94,3,1,76,"getjobber.com"
"cost of plumber",3600,14.38,3,2,31,"getjobber.com|housecallpro.com"
"cost of plumbing",3600,14.38,3,2,15,"getjobber.com|housecallpro.com"
"diy website builder",3600,20.06,3,1,22,"getjobber.com"
"diy website building",3600,20.06,3,1,29,"getjobber.com"
"do it yourself website builders",3600,20.06,5,1,68,"getjobber.com"
"easily build a website",3600,43.26,4,1,76,"getjobber.com"
"general building contractor salary",3600,3.44,4,2,7,"getjobber.com|housecallpro.com"
"general contractor income",3600,3.44,3,2,5,"getjobber.com|housecallpro.com"
"general contractor pay",3600,3.44,3,1,8,"getjobber.com"
"general contractor salary",3600,3.44,3,1,5,"getjobber.com"
"general contractor wage",3600,3.44,3,1,6,"getjobber.com"
"general contractor wages",3600,3.44,3,1,8,"getjobber.com"
"general contractors pay",3600,3.44,3,1,100,"getjobber.com"
"general contractors salary",3600,3.44,3,1,4,"getjobber.com"
"how create a business website",3600,21.64,5,1,73,"getjobber.com"
"how do i get a general contractor's license",3600,3.86,8,1,32,"getjobber.com"
"how do you get a general contractors license",3600,3.98,8,1,64,"getjobber.com"
"how much do building contractors make",3600,0.00,6,1,9,"getjobber.com"
"how much do construction contractors make",3600,0.00,6,2,6,"getjobber.com|housecallpro.com"
"how much do contractor make",3600,0.00,5,2,4,"getjobber.com|housecallpro.com"
"how much do general contractors make",3600,0.00,6,1,6,"getjobber.com"
"how much does a building contractor make",3600,0.00,7,2,6,"getjobber.com|housecallpro.com"
"how much does a construction contractor make",3600,0.00,7,2,6,"getjobber.com|housecallpro.com"
"how much does a general contractor make",3600,0.00,7,1,7,"getjobber.com"
"how much does contractor make",3600,0.00,5,2,5,"getjobber.com|housecallpro.com"
"how much does contractors make",3600,0.00,5,2,5,"getjobber.com|housecallpro.com"
"how much does general contractor make",3600,0.00,6,1,10,"getjobber.com"
"how to get a general contractor license",3600,3.86,7,1,33,"getjobber.com"
"how to get contractors licence",3600,3.86,5,1,6,"getjobber.com"
"how to get general contractors license",3600,3.86,6,1,70,"getjobber.com"
"how to obtain general contractor license",3600,3.86,6,1,70,"getjobber.com"
"how.much do contractors make",3600,0.00,4,2,4,"getjobber.com|housecallpro.com"
"make website easily",3600,43.26,3,1,28,"getjobber.com"
"make your own website sites",3600,26.03,5,1,66,"getjobber.com"
"making website easy",3600,43.26,3,1,71,"getjobber.com"
"salary for general contractor",3600,3.44,4,2,10,"getjobber.com|housecallpro.com"
"salary general contractor",3600,3.44,3,2,7,"getjobber.com|housecallpro.com"
"salary of a general contractor",3600,3.44,5,1,8,"getjobber.com"
"sites to make your own website",3600,26.03,6,1,89,"getjobber.com"
"state of michigan contractors license",3600,4.42,5,1,7,"getjobber.com"
"web based accounting software for small business",3600,40.16,7,1,91,"getjobber.com"
"website design your own",3600,26.03,4,1,77,"getjobber.com"
"website to create your own website",3600,17.08,6,1,81,"getjobber.com"
"what do plumbers do",3600,3.06,4,2,12,"getjobber.com|housecallpro.com"
"what does a plumber",3600,3.06,4,2,52,"getjobber.com|housecallpro.com"
"what does a plumber do",3600,3.06,5,1,29,"getjobber.com"
"what does plumber do",3600,3.06,4,1,46,"getjobber.com"
"what is a subcontractor",3600,0.49,4,1,33,"getjobber.com"
"what plumber does",3600,3.06,3,2,15,"getjobber.com|housecallpro.com"
"what plumbers do",3600,3.06,3,2,20,"getjobber.com|housecallpro.com"
"best hvac system",3600,8.01,3,1,84,"housecallpro.com"
"facebook telephone number customer service",3600,4.19,5,1,72,"housecallpro.com"
"full service marketing companies",3600,21.55,4,1,18,"housecallpro.com"
"google voice call rates",3600,17.57,4,1,70,"housecallpro.com"
"how long is hvac schooling",3600,12.69,5,1,12,"housecallpro.com"
"how much do contractors make",3600,0.00,5,1,5,"housecallpro.com"
"hvac maintenance plan",3600,11.87,3,1,6,"housecallpro.com"
"top-rated contractors near me",3600,7.35,4,1,66,"housecallpro.com"
"active plumbing supply company",2900,0.55,4,1,89,"servicetitan.com"
"arizona contractor license check",2900,3.12,4,1,72,"servicetitan.com"
"arkansas contractors license",2900,4.12,3,1,17,"servicetitan.com"
"arkansas contractors licensing board",2900,4.12,4,1,12,"servicetitan.com"
"arkansas state contractors license",2900,4.12,4,1,13,"servicetitan.com"
"construction contractors license",2900,5.95,3,1,44,"servicetitan.com"
"contractor billing template",2900,8.12,3,2,4,"servicetitan.com|getjobber.com"
"contractor invoice example",2900,8.12,3,2,4,"servicetitan.com|getjobber.com"
"contractor invoice template",2900,6.63,3,2,10,"servicetitan.com|getjobber.com"
"contractor license in ga",2900,4.27,4,2,24,"servicetitan.com|getjobber.com"
"contractor licensing board arkansas",2900,4.12,4,1,14,"servicetitan.com"
"contractors invoice sample",2900,8.12,3,2,5,"servicetitan.com|getjobber.com"
"contractors invoice template",2900,8.12,3,2,17,"servicetitan.com|getjobber.com"
"electric contractor license",2900,7.25,3,2,2,"servicetitan.com|housecallpro.com"
"electrical contractor licence",2900,7.25,3,1,20,"servicetitan.com"
